GraphName,Version,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold,DataType
com-lj,Vectorized,24,6,126,1790,0.749906,22.6989,2.64182,25.3408,1e-06,4
com-youtube,Vectorized,24,8,176,5211,0.720326,12.5297,0.462032,12.9917,1e-06,4
roadNet-CA,Vectorized,24,9,201,2980,0.991769,0.876925,1.05609,1.93301,1e-06,4
web-Google,Vectorized,24,6,103,3169,0.979349,1.25918,0.229477,1.48865,1e-06,4
com-orkut,Vectorized,24,5,101,31,0.660463,14.2478,15.1033,29.3511,1e-06,4
soc-LiveJournal1,Vectorized,24,6,126,3098,0.748539,32.0097,5.76084,37.7706,1e-06,4
wiki-Talk,Vectorized,24,5,101,2641,0.558494,18.4834,0.766468,19.2498,1e-06,4
web-Stanford,Vectorized,24,9,178,726,0.936474,3.36242,0.101491,3.46391,1e-06,4
cage15,Modified Parallel,24,7,129,46,0.887637,3.87777,1.51941,5.39718,1e-06,4
uk2002,Modified Parallel,24,8,176,4015,0.989271,49.8541,3.30772,53.1619,1e-06,4
333SP,Modified Parallel,24,20,476,184,0.985523,2.19279,1.44336,3.63615,1e-06,4
AS365,Modified Parallel,24,8,176,174,0.981405,2.14223,1.31483,3.45706,1e-06,4
eu-2005,Modified Parallel,24,6,104,153,0.938069,7.59885,0.213885,7.81274,1e-06,4
in-2004,Modified Parallel,24,7,128,802,0.979406,1.69083,0.272843,1.96367,1e-06,4
M6,Modified Parallel,24,9,178,161,0.980663,1.95813,1.22132,3.17945,1e-06,4
NLR,Modified Parallel,24,9,178,168,0.981596,2.40139,1.45353,3.85492,1e-06,4
road_usa,Modified Parallel,24,11,251,1419,0.997934,10.0254,13.3711,23.3964,1e-06,4
af_shell10,Modified Parallel,24,16,376,63,0.958152,1.40085,0.78725,2.1881,1e-06,4
cnr-2000,Modified Parallel,24,6,126,185,0.912108,1.34194,0.0740364,1.41598,1e-06,4
G_n_pin_pout,Modified Parallel,24,7,128,61,0.283998,0.166909,0.137163,0.304072,1e-06,4
NACA0015,Modified Parallel,24,8,176,108,0.972613,0.472314,0.321363,0.793677,1e-06,4
road_central,Modified Parallel,24,11,251,1037,0.9972,7.58708,8.34149,15.9286,1e-06,4
smallworld,Modified Parallel,24,6,126,211,0.792557,0.084527,0.0619884,0.146515,1e-06,4
